gene	positivePosteriorProb	negativePosteriorProb	FDR
A2M	0.0254195982095597	0.0597599864884025	0.772612580137411
A4GALT	0.0210238705767438	0.071104589233328	0.756397147659209
AACS	0.711040725967527	0.23647101823449	0.00188271679893878
AATF	0.0342492875151695	0.169465466100029	0.487002495758926
ABCA13	0.0280661118961864	0.0850759556319646	0.688132871128394
ABCA1	0.0372184917257734	0.155429452224299	0.505570593485388
ABCA3	0.027813850670553	0.0891092328364541	0.675365764787603
ABCA4	0.0263664532729625	0.0682840612609322	0.748442665951628
ABCA5	0.0193947615507502	0.0473570404702704	0.783335361568835
ABCA6	0.0276954669630755	0.0812833876879238	0.700924727726387
ABCA7	0.0299124257521771	0.117447887567194	0.595963011272175
ABCA9	0.026517924056978	0.0750203504070488	0.725462367629765
ABCB10	0.456806380662309	0.0658740165283565	0.156056710697605
ABCB11	0.0260593258252217	0.0697678687268635	0.74441153668594
ABCB1	0.0303294433034838	0.0972440142905033	0.643934129081753
ABCB8	0.0259286262939249	0.0665342214710394	0.755429228996236
ABCC1	0.0269703193079723	0.0773340473329941	0.716122053491724
ABCC3	0.0273741687876839	0.0819486784087056	0.699775339776547
ABCC4	0.0256424265592827	0.062388801247885	0.767367881421681
ABCD2	0.0270032548981437	0.080773565688019	0.704818125314416
ABCD4	0.0313828178890164	0.125790643481787	0.574839777697634
ABCG2	0.0255202408355584	0.0607030098323934	0.770901593238011
ABHD17A	0.0384111217564804	0.38497292770588	0.232620284042166
ABI1	0.0230855914681488	0.0641555903143593	0.76915109158938
ABLIM2	0.075734219283293	0.190421309856888	0.395910086136749
ABTB1	0.0279990341791528	0.0889775255062037	0.675188014042896
ACADM	0.0205515804737147	0.068292915002722	0.765410887961655
ACO2	0.0690182099042072	0.28547110111375	0.29087169753751
ACOT6	0.0254968951719803	0.0602389596499556	0.771780449313098
ACSBG1	0.0259133853310841	0.0650897432524228	0.759592823620047
ACSL5	0.0225627084330394	0.0951105633529711	0.673396999428044
ACSL6	0.0217626385010153	0.196666553662491	0.464831354539396
ACSS1	0.0261976934790165	0.0701901682690034	0.742711211390678
ACTA2	0.0328035139261482	0.101113356635786	0.627707640572051
ACTB	0.02860906251218	0.103269848474115	0.632985335631576
ACTG1	0.0714903455410227	0.188587249551473	0.404477936880157
ACTL6B	0.0281347492236882	0.0858539138630517	0.68541151791089
ACTR3B	0.0259345081492349	0.0663053962548928	0.756103167710255
ACTR3	0.0321927970697445	0.134878106242551	0.552886572889817
ACTR8	0.999993032843241	0.612825869131213	0
ACYP1	0.0258200657496836	0.0655968265697629	0.75847494691151
ADAM12	0.0270925887115553	0.0830531210332674	0.697294044186051
ADAM15	0.163290909571365	0.181877851843907	0.298031141553111
ADAM17	0.0262749290790463	0.0709864374669642	0.739469579946207
ADAM19	0.0274322612468011	0.0910498509174619	0.670528840751311
ADAM22	0.0218134838274988	0.0526154534528195	0.779664834321596
ADAM28	0.0255011290217495	0.0605174409687851	0.77137196129466
ADAMTS12	0.0266589513070789	0.0761301831341859	0.721050669446858
ADAMTS20	0.0265792080414689	0.0773811592119113	0.717182786683303
ADAMTSL1	0.025318655063419	0.0584617556528304	0.774616183176302
ADAMTSL3	0.0266446138448961	0.0779650063734292	0.715176273706234
ADAMTSL5	0.0260838834211793	0.0675380132782982	0.751946952069026
ADAR	0.0213869969342574	0.0914452157821711	0.689063936960089
ADA	0.0269075833249815	0.0834281916439992	0.696723450809458
ADCY10	0.0266874504264	0.0763805112024346	0.720131134992383
ADCY1	0.0258180220896728	0.0649759346874289	0.760214237957449
ADCY2	0.0259355827846589	0.0667807725507569	0.754666683917402
ADCY3	0.0275102957484172	0.0869581779618374	0.683814240971086
ADCY4	0.023428308241061	0.0699095608188588	0.752842166835878
ADCY5	0.0261134522891448	0.0693929746404643	0.74558122771193
