gene	avgTPM	avgFPKM
Gnai3	15.085	25.45
Pbsn	0	0
Cdc45	10.595	18.06
H19	69.83	113.77
Scml2	1.065	1.765
Apoh	0.005	0.01
Narf	2.58	4.39
Cav2	0.68	1.13
Klf6	7.415	12.49
Scmh1	1.755	2.98
Cox5a	82.105	140.1
Tbx2	0.14	0.235
Tbx4	0.17	0.295
Zfy2	0.03	0.055
Ngfr	4.81	8.255
Wnt3	1.44	2.44
Wnt9a	0.965	1.615
Fer	2.665	4.535
Xpo6	22.105	37.755
Tfe3	8.22	14.13
Axin2	2.21	3.73
Brat1	4.285	7.32
Gna12	9.52	16.13
Slc22a18	0.61	1.075
Itgb2l	0	0
Igsf5	0.045	0.08
Pih1d2	0.595	1.025
Dlat	10.14	17.235
Sdhd	33.585	57.185
Fgf23	0.03	0.045
Fgf6	0.005	0.01
Ccnd2	1.645	2.81
Gpr107	30.035	51.57
Nalcn	0.115	0.2
Btbd17	0.35	0.59
Slfn4	0.17	0.29
Th	0.105	0.17
Ins2	0	0
Scnn1g	0	0.005
Drp2	0.275	0.47
Tspan32	0.67	1.115
Lhx2	0.075	0.125
Clec2g	0.025	0.045
Gmpr	2.1	3.58
Glra1	0.01	0.015
Mid2	0.14	0.235
Trim25	8.42	14.325
Dgke	5.81	9.96
Scpep1	36.155	62.27
Mnt	2.195	3.745
Itgb2	0.1	0.175
Hddc2	6.82	11.555
Tpd52l1	2.305	3.89
Pemt	3.715	6.345
Cdh1	70.385	121.555
Cdh4	0.415	0.71
Ckmt1	2	3.445
Bcl6b	1.285	2.21
Clec10a	0.45	0.77
Alox12	0.12	0.205
Arvcf	9.435	16.22
Comt	9.64	16.46
Rtca	9.38	15.86
Dbt	3.45	5.88
Dazap2	4.195	7.01
Mcts1	8.78	14.9
Rem1	0.035	0.06
Rnf17	3.305	5.685
Trappc10	3.42	5.82
Ccm2	6.935	11.745
Wap	0.02	0.03
Tbrg4	42.955	73.645
Tmprss2	0.285	0.48
Mx1	0.03	0.05
Fap	0	0
Gcg	0	0
Ndufa9	39.785	68.355
Egfl6	0.26	0.435
Lck	5.815	10.075
Tssk3	0.02	0.04
Cttnbp2	0.08	0.135
Galnt1	13.86	23.6
Myf5	0	0
Mkrn2	5.33	9.045
Pparg	0.115	0.2
Raf1	23.71	40.47
Sept1	24.395	41.94
Pdgfb	1.76	3.015
Acvrl1	0.64	1.085
Grasp	2.53	4.295
Acvr1b	7.22	12.47
Tom1l2	2.075	3.525
Gpa33	27.58	48.27
Zfp385a	0.9	1.505
Itga5	14.23	24.15
Gabra2	0.015	0.03
Wdr77	33.31	56.655
Adora3	0	0
Atp5f1	53.5	90.355
